Location,id,number,name,address,count,latitude,longitude,number2
NYC,3212,3212,Christ Hospital,NaN,10,40.734785818,-74.050443636,3212
NYC,3207,3207,Oakland Ave,NaN,10,40.7376037,-74.05247829999998,3207
NYC,3193,3193,Lincoln Park,NaN,10,40.7246050998869,-74.07840594649316,3193
NYC,3199,3199,Newport Pkwy,NaN,10,40.7287448,-74.03210820000002,3199
NYC,3183,3183,Exchange Place,NaN,10,40.7162469,-74.0334588,3183
NYC,3198,3198,Heights Elevator,NaN,10,40.748715945380226,-74.04044330120088,3198
NYC,3206,3206,Hilltop,NaN,10,40.7311689,-74.0575736,3206
NYC,3197,3197,North St,NaN,10,40.75255900000001,-74.044725,3197
NYC,3213,3213,Van Vorst Park,NaN,10,40.71848892,-74.047726625,3213
NYC,3194,3194,McGinley Square,NaN,10,40.7253399253558,-74.06762212514876,3194
NYC,3215,3215,Central Ave,NaN,10,40.7467299,-74.0492509,3215
NYC,3196,3196,Riverview Park,NaN,10,40.7443187,-74.04399090000003,3196
NYC,3209,3209,Brunswick St,NaN,10,40.7241765,-74.05065640000002,3209
NYC,3214,3214,Essex Light Rail,NaN,10,40.71277420000001,-74.03648570000001,3214
NYC,3210,3210,Pershing Field,NaN,10,40.742677141,-74.051788633,3210
NYC,3217,3217,Bayside Park,NaN,10,40.698650544,-74.082079678,3217
NYC,3185,3185,City Hall,NaN,10,40.7177325,-74.04384499999998,3185
NYC,3186,3186,Grove St PATH,NaN,10,40.71958611647166,-74.0431174635887,3186
NYC,3187,3187,Warren St,NaN,10,40.72112360000001,-74.03805095,3187
NYC,3203,3203,Hamilton Park,NaN,10,40.727595965999996,-74.044247311,3203
NYC,3211,3211,Newark Ave,NaN,10,40.72152515,-74.046304543,3211
NYC,3205,3205,JC Medical Center,NaN,10,40.71653978099194,-74.0496379137039,3205
NYC,3225,3225,Baldwin at Montgomery,NaN,10,40.7236589,-74.0641943,3225
NYC,3184,3184,Paulus Hook,NaN,10,40.7141454,-74.0335519,3184
NYC,3202,3202,Newport PATH,NaN,10,40.7272235,-74.03375890000002,3202
NYC,3216,3216,Columbia Park,NaN,10,40.6970299,-74.09693659999998,3216
NYC,3201,3201,Dey St,NaN,10,40.737711,-74.066921,3201
NYC,3220,3220,5 Corners Library,NaN,10,40.73496102000952,-74.05950307846071,3220
NYC,3195,3195,Sip Ave,NaN,10,40.730742625306576,-74.06378388404845,3195
NYC,3190,3190,Garfield Ave Station,NaN,10,40.7104670233797,-74.07003879547119,3190
NYC,3188,3188,NJCU,NaN,10,40.710108700000006,-74.0858489,3188
NYC,3192,3192,Liberty Light Rail,NaN,10,40.7112423,-74.0557013,3192
NYC,3200,3200,MLK Light Rail,NaN,10,40.7111305,-74.0788855,3200
NYC,3191,3191,Union St,NaN,10,40.71821129999999,-74.08363940000002,3191
NYC,3189,3189,West Side Light Rail,NaN,10,40.714402,-74.0887723,3189
NYC,3270,3270,Jersey & 6th St,NaN,10,40.72528910781132,-74.04557168483734,3270
NYC,3267,3267,Morris Canal,NaN,10,40.7124188237569,-74.03852552175522,3267
NYC,3272,3272,Jersey & 3rd,NaN,10,40.723331586464354,-74.04595255851744,3272
NYC,3268,3268,Lafayette Park,NaN,10,40.71346382669195,-74.06285852193831,3268
NYC,3278,3278,Monmouth and 6th,NaN,10,40.72568548362901,-74.0487903356552,3278
NYC,3279,3279,Dixon Mills,NaN,10,40.72163014263835,-74.04996782541275,3279
NYC,3276,3276,Marin Light Rail,NaN,10,40.71458403535893,-74.04281705617905,3276
NYC,3273,3273,Manila & 1st,NaN,10,40.72165072487999,-74.04288411140442,3273
NYC,3275,3275,Columbus Drive,NaN,10,40.71835519823214,-74.03891444206238,3275
NYC,3274,3274,Bethune Center,NaN,10,40.70495751672861,-74.08593088388444,3274
NYC,3281,3281,Leonard Gordon Park,NaN,10,40.74590996631558,-74.05727148056029,3281
NYC,3271,3271,Danforth Light Rail,NaN,10,40.69263996618329,-74.08801227807997,3271
NYC,3269,3269,Brunswick & 6th,NaN,10,40.726011729646245,-74.0503889322281,3269
NYC,3280,3280,Astor Place,NaN,10,40.71928220070703,-74.07126188278198,3280
NYC,3426,3426,JCBS Depot,NaN,10,40.70965083364061,-74.0686011314392,3426
NYC,3277,3277,Communipaw & Berry Lane,NaN,10,40.71435836870427,-74.06661093235016,3277
NYC,514,514,12 Ave & W 40 St,NaN,10,40.76087502,-74.00277668,514
NYC,426,426,West St & Chambers St,NaN,10,40.71754834,-74.01322069,426
NYC,405,405,Washington St & Gansevoort St,NaN,10,40.739323,-74.008119,405
NYC,3173,3173,Riverside Blvd & W 67 St,NaN,10,40.777507027547976,-73.98888587951659,3173
NYC,3169,3169,Riverside Dr & W 82 St,NaN,10,40.78720869,-73.98128127,3169
NYC,457,457,Broadway & W 58 St,NaN,10,40.76695317,-73.98169333,457
NYC,466,466,W 25 St & 6 Ave,NaN,10,40.74395411,-73.99144871,466
NYC,448,448,W 37 St & 10 Ave,NaN,10,40.75660359,-73.9979009,448
NYC,505,505,6 Ave & W 33 St,NaN,10,40.74901271,-73.98848395,505
NYC,363,363,West Thames St,NaN,10,40.70834698,-74.01713445,363
NYC,247,247,Perry St & Bleecker St,NaN,10,40.73535398,-74.00483091,247
NYC,327,327,Vesey Pl & River Terrace,NaN,10,40.7153379,-74.01658354,327
NYC,309,309,Murray St & West St,NaN,10,40.7149787,-74.013012,309
NYC,534,534,Water - Whitehall Plaza,NaN,10,40.70255065,-74.0127234,534
NYC,249,249,Harrison St & Hudson St,NaN,10,40.71870987,-74.0090009,249
NYC,225,225,W 14 St & The High Line,NaN,10,40.74195138,-74.00803013,225
NYC,276,276,Duane St & Greenwich St,NaN,10,40.71748752,-74.0104554,276
NYC,403,403,E 2 St & 2 Ave,NaN,10,40.72502876,-73.99069656,403
NYC,295,295,Pike St & E Broadway,NaN,10,40.71406667,-73.99293911,295
NYC,430,430,York St & Jay St,NaN,10,40.7014851,-73.98656928,430
NYC,2008,2008,Little West St & 1 Pl,NaN,10,40.70569254,-74.01677685,2008
NYC,147,147,Greenwich St & Warren St,NaN,10,40.71542197,-74.01121978,147
NYC,3178,3178,Riverside Dr & W 78 St,NaN,10,40.78414472,-73.98362492,3178
NYC,173,173,Broadway & W 49 St,NaN,10,40.76068327096592,-73.98452728986742,173
NYC,252,252,MacDougal St & Washington Sq,NaN,10,40.73226398,-73.99852205,252
NYC,484,484,W 44 St & 5 Ave,NaN,10,40.75500254,-73.98014437,484
NYC,329,329,Greenwich St & North Moore St,NaN,10,40.72015227023285,-74.01036500930786,329
NYC,358,358,Christopher St & Greenwich St,NaN,10,40.73291553,-74.00711384,358
NYC,315,315,South St & Gouverneur Ln,NaN,10,40.70355377,-74.00670227,315
NYC,477,477,W 41 St & 8 Ave,NaN,10,40.75640548,-73.9900262,477
NYC,428,428,E 3 St & 1 Ave,NaN,10,40.72467721,-73.98783413,428
NYC,3002,3002,South End Ave & Liberty St,NaN,10,40.711512,-74.01575600000002,3002
NYC,390,390,Duffield St & Willoughby St,NaN,10,40.69221589,-73.9842844,390
NYC,501,501,FDR Drive & E 35 St,NaN,10,40.744219,-73.97121214,501
NYC,351,351,Front St & Maiden Ln,NaN,10,40.70530954,-74.00612572,351
NYC,3265,3265,E 2 St & 2 Ave E,NaN,10,40.7245634290432,-73.9894437789917,3265
NYC,304,304,Broadway & Battery Pl,NaN,10,40.70463334,-74.01361706,304
NYC,284,284,Greenwich Ave & 8 Ave,NaN,10,40.7390169121,-74.0026376103,284
NYC,3314,3314,W 95 St & Broadway,NaN,10,40.7937704,-73.971888,3314
NYC,498,498,Broadway & W 32 St,NaN,10,40.74854862,-73.98808416,498
NYC,380,380,W 4 St & 7 Ave S,NaN,10,40.73401143,-74.00293877,380
NYC,3331,3331,Riverside Dr & W 104 St,NaN,10,40.8013434,-73.97114574390001,3331
NYC,386,386,Centre St & Worth St,NaN,10,40.71494807,-74.00234482,386
NYC,427,427,Bus Slip & State St,NaN,10,40.701907,-74.013942,427
NYC,347,347,Greenwich St & W Houston St,NaN,10,40.728846,-74.00859100000002,347
NYC,359,359,E 47 St & Park Ave,NaN,10,40.75510267,-73.97498696,359
NYC,3085,3085,Roebling St & N 4 St,NaN,10,40.71469,-73.95739,3085
NYC,360,360,William St & Pine St,NaN,10,40.70717936,-74.00887308,360
NYC,328,328,Watts St & Greenwich St,NaN,10,40.72405549,-74.00965965,328
NYC,446,446,W 24 St & 7 Ave,NaN,10,40.74487634,-73.99529885,446
NYC,520,520,W 52 St & 5 Ave,NaN,10,40.75992262,-73.97648516,520
NYC,2004,2004,6 Ave & Broome St,NaN,10,40.724399,-74.004704,2004
NYC,393,393,E 5 St & Avenue C,NaN,10,40.72299208,-73.97995466,393
NYC,401,401,Allen St & Rivington St,NaN,10,40.72019576,-73.98997825,401
NYC,376,376,John St & William St,NaN,10,40.70862144,-74.00722156,376
NYC,224,224,Spruce St & Nassau St,NaN,10,40.71146364,-74.00552427,224
NYC,319,319,Fulton St & Broadway,NaN,10,40.711066,-74.009447,319
NYC,2021,2021,W 45 St & 8 Ave,NaN,10,40.75929124,-73.98859651,2021
NYC,152,152,Warren St & Church St,NaN,10,40.71473993,-74.00910627,152
NYC,297,297,E 15 St & 3 Ave,NaN,10,40.734232,-73.986923,297
NYC,267,267,Broadway & W 36 St,NaN,10,40.75097711,-73.98765428,267
NYC,3442,3442,Indiana,NaN,10,0.0,0.0,3442
NYC,479,479,9 Ave & W 45 St,NaN,10,40.76019252,-73.9912551,479